88,14
2,15
1,14
1,15
2,14
1,15
3,14
3,15
1,14
5,15
1,14
5,15
1,14
1,15
1,14
1,15
1,14
3,15
1,14
3,15
121,14
2,15
2,14
3,15
1,14
1,15
1,14
1,15
1,14
328,15
102,14
3,15
1,14
3,15
1,14
3,15
1,14
3,15
1,14
3,15
1,14
5,15
1,14
3,15
1,14
3,15
1,14
3,15
1,14
3,15
1,14
3,15
1,14
2,15
3,14
1,15
1,14
1,15
1,14
1,15
1,14
1,15
1,14
1,15
1,14
3,15
1,14
3,15
1,14
3,15
1,14
3,15
1,14
3,15
1,14
9,15
1,14
3,15
1,14
3,15
1,14
3,15
1,14
3,15
1,14
567,15
7,16
118,15
1,16
3,15
1,16
1,15
1,16
3,15
1,16
1,15
1,16
1,15
1,16
1,15
1,16
1,15
1,16
1,15
1,16
1,15
1,16
1,15
1,16
1,15
1,16
1,15
5,16
2,15
1,16
5,15
1,16
1,15
1,16
1,15
1,16
3,15
1,16
1,15
1,16
1,15
1,16
1,15
3,16
1,15
1,16
1,15
1,16
1,15
1,16
1,15
3,16
1,15
1,16
1,15
1,16
1,15
1,16
1,15
3,16
1,15
3,16
2,15
4,16
1,15
3,16
1,15
12,16
1,15
1,16
1,15
1,16
1,15
1,16
1,15
1,16
1,15
1,16
1,15
1,16
1,15
1,16
1,15
3,16
1,15
1,16
1,15
1,16
1,15
1,16
1,15
1,16
1,15
1,16
1,15
1,16
1,15
1,16
3,15
3,16
1,15
36,16
1,15
3,16
1,15
485,16
1,15
1117,16
1,17
35,16
1,17
49,16
1,17
3,16
1,17
1,16
1,17
1,16
1,17
1,16
1,17
3,16
1,17
8,16
1,17
3,16
1,17
5,16
1,17
7,16
1,17
7,16
1,17
1,16
7,17
1,16
1,17
1,16
1,17
1,16
3,17
1,16
5,17
1,16
1,17
1,16
1,17
1,16
3,17
1,16
1,17
1,16
6,17
1,16
1,17
1,16
1,17
1,16
1,17
1,16
1,17
1,16
1,17
1,16
1,17
1,16
1,17
1,16
3,17
1,16
1,17
1,16
3,17
1,16
3,17
1,16
1,17
1,16
17,17
1,16
22,17
1,16
1,17
1,16
1,17
1,16
